Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L6      
3-24    28      1.1283  0       0       0       47.059  -5.067  99      2.0312  
3-25    10      1.5413  0       0       0       58.164  -22.05  99.11   2.0148  
3-26    30      1.1305  0       0       0       44.238  -0.346  98.97   2.036   
3-27    12      1.2915  0       0       0       52.006  -12.93  99.05   2.0235  
3-28    9       1.7867  0       0       0       64.06   -30.2   99.15   2.0073  
3-29    1       3.1936  0       0       0       100.34  -70.89  99.3    1.9714  
3-30    21      1.1693  0       0       0       48.614  -7.592  99.02   2.0287  
---------------------------------------------------------------------
Average :       1.555   0       0       0       57.77   -19.6   99.08   
Optimum :       1.124   0       0       0       50.5    -0.35   99.3    
 
4-1     23      1.1264  0       0       0       46.963  -4.909  99      2.0314  
4-2     28      1.1275  0       0       0       44.374  -0.579  98.97   2.0357  
4-3     26      1.1194  0       0       0       46.531  -4.197  99      2.0321  
4-4     30      1.1157  0       0       0       45.156  -1.903  98.98   2.0344  
4-5     18      1.1562  0       0       0       48.179  -6.891  99.02   2.0294  
4-6     13      1.1836  0       0       0       49.058  -8.304  99.02   2.028   
4-7     9       1.2084  0       0       0       49.783  -9.457  99.03   2.0269  
4-8     7       1.2342  0       0       0       50.495  -10.58  99.04   2.0258  
4-9     17      1.1582  0       0       0       48.249  -7.005  99.02   2.0293  
4-10    6       1.2372  0       0       0       41.427  4.5499  98.93   2.041   
4-11    1       1.9464  0       0       0       67.913  -35.24  99.17   2.0027  
4-12    14      1.1761  0       0       0       48.828  -7.937  99.02   2.0284  
4-13    16      1.1642  0       0       0       43.116  1.5838  98.95   2.0379  
4-14    20      1.1486  0       0       0       47.911  -6.457  99.01   2.0299  
4-15    8       1.2088  0       0       0       49.795  -9.475  99.03   2.0269  
4-16    24      1.1259  0       0       0       46.936  -4.865  99      2.0314  
4-17    10      1.188   0       0       0       49.189  -8.514  99.03   2.0278  
4-18    11      1.1879  0       0       0       49.188  -8.512  99.03   2.0278  
4-19    2       1.7872  0       0       0       64.074  -30.21  99.15   2.0073  
4-20    4       1.6067  0       0       0       59.739  -24.28  99.12   2.0127  
4-21    25      1.121   0       0       0       46.639  -4.376  99      2.0319  
4-22    29      1.1271  0       0       0       44.391  -0.608  98.97   2.0357  
4-23    5       1.2661  0       0       0       40.866  5.5523  98.92   2.042   
4-24    12      1.1873  0       0       0       49.17   -8.483  99.03   2.0279  
4-25    21      1.1486  0       0       0       47.911  -6.457  99.01   2.0299  
4-26    27      1.1305  0       0       0       44.238  -0.346  98.97   2.036   
4-27    22      1.1283  0       0       0       47.059  -5.067  99      2.0312  
4-28    3       1.7867  0       0       0       64.06   -30.2   99.15   2.0073  
4-29    15      1.16    0       0       0       48.309  -7.101  99.02   2.0292  
4-30    19      1.1492  0       0       0       47.933  -6.492  99.01   2.0298  
---------------------------------------------------------------------
Average :       1.247   0       0       0       49.25   -8.23   99.02   
Optimum :       1.116   0       0       0       49.79   -0.35   99.17   
 
5-1     13      1.1411  0       0       0       47.625  -5.993  99.01   2.0303  
5-2     14      1.1527  0       0       0       43.45   1.0065  98.96   2.0373  
5-3     22      1.1138  0       0       0       45.856  -3.077  98.99   2.0332  
5-4     26      1.1157  0       0       0       45.156  -1.903  98.98   2.0344  
5-5     27      1.1157  0       0       0       45.156  -1.903  98.98   2.0344  
5-6     8       1.1642  0       0       0       43.116  1.5838  98.95   2.0379  
5-7     6       1.167   0       0       0       48.54   -7.473  99.02   2.0289  
5-8     20      1.1415  0       0       0       43.814  0.3785  98.96   2.0367  
5-9     5       1.1751  0       0       0       48.799  -7.89   99.02   2.0284  
5-10    2       1.189   0       0       0       49.219  -8.561  99.03   2.0278  
5-11    15      1.135   0       0       0       47.37   -5.576  99.01   2.0307  
5-12    29      1.1187  0       0       0       44.884  -1.444  98.98   2.0349  
5-13    3       1.188   0       0       0       49.189  -8.514  99.03   2.0278  
5-14    16      1.1283  0       0       0       47.059  -5.067  99      2.0312  
5-15    4       1.1837  0       0       0       49.061  -8.309  99.02   2.028   
5-16    28      1.1184  0       0       0       44.905  -1.479  98.98   2.0348  
5-17    19      1.1253  0       0       0       46.902  -4.809  99      2.0315  
5-18    12      1.1416  0       0       0       47.643  -6.022  99.01   2.0303  
5-19    25      1.1266  0       0       0       44.415  -0.649  98.97   2.0357  
5-20    24      1.1311  0       0       0       44.213  -0.304  98.97   2.036   
5-21    11      1.1452  0       0       0       47.782  -6.248  99.01   2.0301  
5-22    7       1.1599  0       0       0       48.308  -7.099  99.02   2.0292  
5-23    10      1.1569  0       0       0       48.205  -6.933  99.02   2.0294  
5-24    9       1.1574  0       0       0       48.223  -6.962  99.02   2.0294  
5-25    23      1.1136  0       0       0       45.814  -3.007  98.99   2.0333  
5-26    21      1.1194  0       0       0       46.527  -4.192  99      2.0321  
5-27    30      1.1189  0       0       0       44.87   -1.42   98.98   2.0349  
5-28    18      1.1259  0       0       0       46.936  -4.866  99      2.0314  
5-29    17      1.1281  0       0       0       47.051  -5.054  99      2.0312  
5-30    1       1.2413  0       0       0       50.688  -10.88  99.04   2.0255  
---------------------------------------------------------------------
Average :       1.145   0       0       0       46.69   -4.42   99      
Optimum :       1.114   0       0       0       50.69   -0.3    99.04   
 
6-1     21      1.1135  0       0       0       45.658  -2.746  98.99   2.0335  
6-2     28      1.1171  0       0       0       45.012  -1.66   98.98   2.0346  
6-3     4       1.1622  0       0       0       48.385  -7.224  99.02   2.0291  
6-4     8       1.1455  0       0       0       47.796  -6.271  99.01   2.03    
6-5     24      1.1266  0       0       0       44.415  -0.649  98.97   2.0357  
6-6     25      1.1266  0       0       0       44.415  -0.649  98.97   2.0357  
6-7     23      1.114   0       0       0       45.427  -2.359  98.98   2.0339  
6-8     12      1.1342  0       0       0       47.335  -5.519  99.01   2.0308  
6-9     27      1.1157  0       0       0       45.156  -1.903  98.98   2.0344  
6-10    13      1.1283  0       0       0       47.059  -5.067  99      2.0312  
6-11    19      1.1139  0       0       0       45.895  -3.141  98.99   2.0332  
6-12    11      1.1391  0       0       0       47.542  -5.857  99.01   2.0304  
6-13    2       1.188   0       0       0       49.189  -8.514  99.03   2.0332  
6-14    14      1.1283  0       0       0       47.059  -5.067  99      2.0367  
6-15    3       1.1837  0       0       0       49.061  -8.309  99.02   2.0329  
6-16    29      1.1184  0       0       0       44.905  -1.479  98.98   2.0352  
6-17    17      1.1253  0       0       0       46.902  -4.809  99      2.0313  
6-18    10      1.1416  0       0       0       47.643  -6.022  99.01   2.0314  
6-19    26      1.1266  0       0       0       44.415  -0.649  98.97   2.0354  
6-20    22      1.1311  0       0       0       44.213  -0.304  98.97   2.0352  
6-21    9       1.1452  0       0       0       47.782  -6.248  99.01   2.0349  
6-22    5       1.1599  0       0       0       48.308  -7.099  99.02   2.0349  
6-23    7       1.1569  0       0       0       48.205  -6.933  99.02   2.0334  
6-24    6       1.1574  0       0       0       48.223  -6.962  99.02   2.0324  
6-25    20      1.1136  0       0       0       45.814  -3.007  98.99   2.0343  
6-26    18      1.1194  0       0       0       46.527  -4.192  99      2.0333  
6-27    30      1.1189  0       0       0       44.87   -1.42   98.98   2.0349  
6-28    16      1.1259  0       0       0       46.936  -4.866  99      2.0367  
6-29    15      1.1281  0       0       0       47.051  -5.054  99      2.0286  
6-30    1       1.2413  0       0       0       50.688  -10.88  99.04   2.0363  
---------------------------------------------------------------------
Average :       1.138   0       0       0       46.73   -4.5    99      
Optimum :       1.113   0       0       0       50.69   -0.3    99.04   
 
